sample_id,raw_output,is_valid,canonical_smiles,parse_failure_reason,classifier_score,classifier_positive,is_novel_vs_train,mol_weight,logp,num_h_donors,num_h_acceptors
1,"Sure, here are 50 new molecules that are likely to inhibit HIV replication, represented in SMILES notation:",False,,RDKit 无法解析该 SMILES。,,,,,,,
52,"Please note that these molecules are not guaranteed to be effective against HIV, and further research and testing would be necessary to determine their potential as anti-HIV drugs.",False,,RDKit 无法解析该 SMILES。,,,,,,,
53,"Sure, here are 50 new molecules that are likely to inhibit HIV replication, represented in SMILES notation:",False,,RDKit 无法解析该 SMILES。,,,,,,,
59,N(C(=O)N1C)C(=O)C,False,,RDKit 无法解析该 SMILES。,,,,,,,
61,C(=O)N1C(=O)N1CCN(CC1)C,False,,RDKit 无法解析该 SMILES。,,,,,,,
65,CCOC(=O)N1C(=O)C,False,,RDKit 无法解析该 SMILES。,,,,,,,
66,c1ccncc2,False,,RDKit 无法解析该 SMILES。,,,,,,,
67,c1ccccc2N,False,,RDKit 无法解析该 SMILES。,,,,,,,
68,CCN1C(=O)N1CCN(CC1)C,False,,RDKit 无法解析该 SMILES。,,,,,,,
69,N(C(=O)N1C)S(=O)C,False,,RDKit 无法解析该 SMILES。,,,,,,,
70,C(=O)N1C(=O)N1CCN(CC1)C,False,,RDKit 无法解析该 SMILES。,,,,,,,
74,CCOC(=O)N1C(=O)N1CCN(CC1)C,False,,RDKit 无法解析该 SMILES。,,,,,,,
75,c1ccncc3,False,,RDKit 无法解析该 SMILES。,,,,,,,
76,c1ccccc3N,False,,RDKit 无法解析该 SMILES。,,,,,,,
78,N(C(=O)N1C)S(=O)N1CCN(CC1)C,False,,RDKit 无法解析该 SMILES。,,,,,,,
80,c1ccc(cc1)Se,False,,RDKit 无法解析该 SMILES。,,,,,,,
81,c1ccc(cc1)Te,False,,RDKit 无法解析该 SMILES。,,,,,,,
82,CCN(C)C(=O)N1C(=O)C,False,,RDKit 无法解析该 SMILES。,,,,,,,
84,c1ccncc4,False,,RDKit 无法解析该 SMILES。,,,,,,,
85,c1ccccc4N,False,,RDKit 无法解析该 SMILES。,,,,,,,
86,CCN1C(=O)N1C(=O)N1C(=O)C,False,,RDKit 无法解析该 SMILES。,,,,,,,
93,c1ccncc5,False,,RDKit 无法解析该 SMILES。,,,,,,,
94,c1ccccc5N,False,,RDKit 无法解析该 SMILES。,,,,,,,
96,N(C(=O)N1C)S(=O)N1C(=O)N1C(=O)C,False,,RDKit 无法解析该 SMILES。,,,,,,,
97,C(=O)N1C(=O)N1C(=O)N1C(=O)N1CCN(CC1)C,False,,RDKit 无法解析该 SMILES。,,,,,,,
100,CCN(C)C(=O)N1C(=O)N1C(=O)N1C(=O)C,False,,RDKit 无法解析该 SMILES。,,,,,,,
101,CCOC(=O)N1C(=O)N1C(=O)N1C(=O)N1CCN(CC1)C,False,,RDKit 无法解析该 SMILES。,,,,,,,
102,c1ccncc6,False,,RDKit 无法解析该 SMILES。,,,,,,,
103,c1ccccc6N,False,,RDKit 无法解析该 SMILES。,,,,,,,
